date,model_id,author,company,pipeline_tag,downloads_30d,likes,like_ratio,growth_7d,market_share,velocity
2026-08-30,BAAI/bge-small-zh-v1.5,BAAI,BAAI,feature-extraction,4758075,138,0.0,0.0026,0.003212,4397.5
2026-08-30,pyannote/segmentation,pyannote,Community,voice-activity-detection,4711286,693,0.0001,0.0475,0.003181,2871.0
2026-08-30,autogluon/chronos-2-small,autogluon,Amazon,time-series-forecasting,4710963,4,0.0,,0.003181,17512.9
2026-08-30,Qwen/Qwen3-ASR-1.7B,Qwen,Alibaba,automatic-speech-recognition,4587277,1046,0.0002,-0.0062,0.003097,21536.5
2026-08-30,deepseek-ai/DeepSeek-V4-Flash-0731,deepseek-ai,DeepSeek,text-generation,4575518,3814,0.0008,,0.003089,157776.5
2026-08-30,facebook/dinov2-small,facebook,Meta,image-feature-extraction,4529950,72,0.0,-0.0685,0.003058,4026.6
2026-08-30,meta-llama/Prompt-Guard-86M,meta-llama,Meta,text-classification,4520849,395,0.0001,0.0004,0.003052,5878.9
2026-08-30,Qwen/Qwen3.8-27B,Qwen,Alibaba,image-text-to-text,4511348,13298,0.0029,,0.003046,187972.8
2026-08-30,pyannote/voice-activity-detection,pyannote,Community,automatic-speech-recognition,4426198,241,0.0001,-0.015,0.002988,2697.3
2026-08-30,ornith-ai/Ornith-1.0-9B-GGUF,ornith-ai,Community,text-generation,4402172,661,0.0001,-0.0763,0.002972,67725.7
2026-08-30,google-bert/bert-base-multilingual-uncased,google-bert,Google,fill-mask,4371232,159,0.0,0.0298,0.002951,2663.8
2026-08-30,microsoft/mdeberta-v3-base,microsoft,Microsoft,fill-mask,4325123,235,0.0001,-0.1016,0.00292,2635.7
2026-08-30,datasocietyco/bge-base-en-v1.5-course-recommender-v5,datasocietyco,Community,sentence-similarity,4244132,3,0.0,,0.002865,7109.1
